type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,Try Not To Laugh - Black Comics,Laugh Factory,2018,13+,"Arts, Entertainment, and Culture, Comedy",15,
TV Show,Truth Seekers,,2020,16+,Comedy,,1
Movie,Trust,Angus Benfield,2018,ALL,Drama,93,
Movie,Truly Texas Mexican,Adán Medrano,2021,13+,"Documentary, Special Interest",87,
Movie,True Colors,Herbert Ross,1991,R,Drama,110,
Movie,Truck Tunes 2,Jim Gardner,2014,ALL,"Kids, Special Interest",27,
TV Show,Troy the Train,,2019,ALL,"Animation, Kids",,2
Movie,Tropic Thunder,Ben Stiller,2008,R,"Action, Comedy",107,
Movie,Trois 3: The Escort,Sylvain White,2004,R,"Drama, Suspense",95,
Movie,Triple Seat (4K UHD),Sanket Prakash Pavse,2019,NR,"Comedy, International",126,
TV Show,Travels by Narrowboat,,2020,18+,"Documentary, Special Interest",,6
TV Show,Travel with Kids,,2015,ALL,"Kids, Special Interest",,2
TV Show,Trapped [English Subtitled],,2019,TV-14,TV Shows,,2
Movie,Transpecos,Greg Kwedar,2016,16+,"Action, Suspense",86,
TV Show,Transparent,,2019,18+,"Comedy, Drama, LGBTQ",,5
Movie,Transmilitary,Gabriel Silverman,2019,16+,"Documentary, Special Interest",93,
Movie,Transit,Antonio Negret,2012,R,"Action, Drama, Suspense",88,
TV Show,Trail of Tears,,2008,13+,"Documentary, Special Interest",,1
Movie,Trading Paint,Karzan Kader,2019,R,"Action, Adventure",87,
Movie,Tracktown,"Jeremy Teicher, Alexi Pappas",2017,18+,"Comedy, Drama, Sports",89,
Movie,Traci Townsend,Craig Ross Jr.,2007,16+,"Comedy, Romance",88,
Movie,Toxification,"Rehmat Rayatt, Leva Kwestany",2019,13+,Documentary,65,
Movie,Tour Balas Perdidas en Madrid,Carlos Sánchez,2021,G,Music Videos and Concerts,116,
TV Show,Tougher In Alaska,,2008,TV-PG,TV Shows,,1
Movie,Tough Guy: The Bob Probert Story,Geordie Day,2019,16+,"Documentary, Drama, Sports",93,
Movie,Touch Chesi Chudu,Vikram Sirikonda,2018,13+,"Drama, International, Romance",142,
TV Show,Totally Spies!,,2014,TV-Y7,Kids,,6
TV Show,Total Wipeout,,2012,ALL,"Comedy, Documentary, Unscripted",,6
Movie,Tortilla Soup,Maria Ripoll,2002,PG-13,"Comedy, Drama, Romance",104,
Movie,Tormented,Bert I. Gordon,1960,NR,"Horror, Suspense",75,
TV Show,Toradora!,,2009,TV-14,"Animation, Anime, Drama",,1
TV Show,Top Gear's Top 41,,2013,TV-PG,Documentary,,1
TV Show,Top Gear: The Perfect Road Trip Italy,,2015,TV-PG,Documentary,,1
TV Show,Top Gear: The Perfect Road Trip,,2013,TV-PG,Unscripted,,1
TV Show,Top Gear: From A-Z,,2015,TV-14,TV Shows,,1
TV Show,Top Gear: Ambitious But Rubbish,,2014,TV-PG,Documentary,,1
TV Show,Top Gear America (2017),,2017,TV-14,Special Interest,,1
TV Show,Too Old to Die Young,,2019,18+,TV Shows,,1
Movie,Too Late For Love,Edward Sloman,1934,18+,Drama,84,
Movie,Tone Bell: Can't Cancel This,Tone Bell,2019,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",71,
Movie,Tomorrow When The War Began,Stuart Beattie,2012,R,"Action, Adventure",104,
TV Show,Tommy Little: Self-Diagnosed Genius,,2020,16+,"Arts, Entertainment, and Culture",,1
TV Show,Tom's Paint Shop,,2019,ALL,"Animation, Kids",,2
