type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,The Last Man on the Moon,Mark Craig,2014,TV-PG,Documentaries,96,
Movie,The Last Resort,"Dennis Scholl, Kareem Tabsch",2018,TV-14,Documentaries,70,
Movie,The Last Whistle,Rob Smat,2019,PG,"Dramas, Sports Movies",88,
Movie,The Legend of 420,Peter Spirer,2017,TV-MA,Documentaries,87,
Movie,The Legend of Michael Mishra,Manish Jha,2016,TV-14,"Comedies, Dramas, International Movies",118,
TV Show,The Liar,,2013,TV-14,"Crime TV Shows, International TV Shows, TV Dramas",,1
Movie,The Little Hours,Jeff Baena,2017,R,"Comedies, Independent Movies",89,
Movie,The Little Mermaid,"Blake Harris, Chris Bouchard",2018,PG,"Children & Family Movies, Dramas",85,
Movie,The Little Prince,Mark Osborne,2015,PG,Children & Family Movies,107,
Movie,The Lives of Others,Florian Henckel von Donnersmarck,2006,R,"Dramas, International Movies, Thrillers",138,
TV Show,The Lizzie Borden Chronicles,,2015,TV-14,"Crime TV Shows, TV Dramas, TV Thrillers",,1
Movie,The Lobster,Yorgos Lanthimos,2015,R,"Comedies, International Movies, Romantic Movies",119,
Movie,The Lodgers,Brian O'Malley,2017,R,"Horror Movies, International Movies",93,
Movie,The Long Goodbye: The Kara Tippetts Story,Jay Lyons,2019,TV-PG,"Documentaries, Faith & Spirituality",87,
Movie,The Longest Yard,Robert Aldrich,1974,R,"Classic Movies, Comedies, Sports Movies",121,
Movie,The Longshots,Fred Durst,2008,PG,"Comedies, Dramas, Sports Movies",95,
Movie,The Look of Silence,Joshua Oppenheimer,2014,PG-13,"Documentaries, International Movies",103,
Movie,The Lord of the Rings: The Return of the King,Peter Jackson,2003,PG-13,"Action & Adventure, Sci-Fi & Fantasy",201,
Movie,The Lord of the Rings: The Two Towers,Peter Jackson,2002,PG-13,"Action & Adventure, Sci-Fi & Fantasy",179,
Movie,The Love Guru,Marco Schnabel,2008,PG-13,"Comedies, Sports Movies",87,
Movie,The Lovers and the Despot,"Robert Cannan, Ross Adam",2016,TV-14,"Documentaries, International Movies",98,
Movie,The lynx,Stanisław Różewicz,1982,TV-14,"Dramas, International Movies",82,
